Title,Rating,Service,Watched,Released
9,3.0,,2010,2009
12,4.0,,2010,2007
42,4.0,,2014,2013
360,3.6,,2023,
11/23/63,2.0,hulu,2022,
"10,000 B.C.",2.0,,2008,2008
12 Angry Men,3.0,,2014,1957
12 Monkeys,4.0,,2004,1995
12 Strong,1.0,,2018,2018
12 Years a Slave,4.0,,2014,2013
127 Hours,4.0,,2011,2010
13 Conversations About One Thing,3.0,,2016,2002
13 Tzameti,1.0,,2017,2005
20 Feet from Stardom,3.0,,2015,2013
2001: A Space Odyssey,4.0,,2004,1968
20th Century Women,1.0,,2017,2016
25th Hour,3.0,,2014,2002
"4 Months, 3 Weeks, 2 Days",4.0,,2008,2007
45 Years,1.0,,2017,2015
5 Broken en Cameras,3.0,,2013,2012
5 Flights Up,1.0,,2018,2015
50/50,3.0,,2012,2011
56 Up,3.0,,2014,2012
6 Days,3.0,,2023,
7 Prisoners (difficult to watch),2.0,Netflix,2022,2021
84 Charing Cross Rd,3.0,Tubi,2025,1987
84 Charing Cross Road,4.0,,2006,1986
9 Perfect Strangers S1,3.0,Hulu,2025,2025
99 Homes,3.0,,2016,2015
A Beautiful Mind,4.0,,2004,2001
A Better Life,4.0,,2012,2011
A Brilliant Young Mind,3.5,,2023,
A Call To Spy,2.0,Netflix,2022,2019
A Call to Spy,1.0,,2022,
A Chorus Line,3.0,,2011,1985
A Clockwork Orange,4.0,,2004,1971
A Dangerous Method,2.0,,2012,2011
A Dark Truth,2.0,,2013,2012
A Day and a Half,3.5,,2024,
A Day Without a Mexican,1.0,,2009,2004
A Dog's Purpose,1.0,,2018,2017
A Fish Called Wanda,4.0,,2004,1988
A French Village,2.0,Prime,2025,1900
A French Village S1,2.0,Prime,2025,
A Friend of the Family,1.0,Peacock,2022,2022
A Ghost Story,3.0,,2018,2017
A Good Woman,1.0,,2009,2004
A Good Year,3.0,,2007,2006
A Hijacking,4.0,,2021,2012
A History of Violence,3.0,,2006,2005
A Hologram for the King,3.0,,2017,2016
A Killer Paradox,2.0,Netflix,2025,
A Killer Paradox S1,2.0,Netflix,2025,1900
A Late Quartet,3.0,,2013,2012
A Little Prayer,,,1900,
A Man Called Ove,3.0,,2017,2016
A Matter of Size,3.0,,2012,2009
A Model Family,2.0,Netflix,2022,2022
A Model Family,1.0,Netflix,2022,2022
A Monster Calls,3.0,,2017,2016
A Most Violent Year,4.0,,2015,2014
A Nearly Normal Family,2.0,Net,2025,2023
A Private Affair,2.0,Prime,2022,2022
A Prophet,4.0,,2011,2009
A Quiet Place,4.0,,2018,2018
A Quiet Place Part II,3.0,,2022,2022
A River Runs Through It,4.0,,2005,1992
A Room with a View,1.0,,2007,1986
A Royal Affair,3.0,,2014,2012
A Scanner Darkly,2.0,,2007,2006
A Secret,3.0,,2009,2007
A Separation,4.0,,2012,2011
A Simple Favor,3.0,,2025,2018
A Single Man,2.0,,2010,2009
A Thousand Years of Good Prayers,2.0,,2009,2007
A Very Long Engagement,4.0,,2005,2004
A Walk Among the Tombstones,3.0,,2025,
A Walk in the Woods,2.0,,2016,2015
A Woman a Gun and a Noodle Shop,3.0,,2011,2010
A Wrinkle in Time,1.0,,2018,2018
Aberdeen,4.0,,2012,2001
About Elly,3.0,,2017,2015
About Time,3.0,,2017,2013
Above Suspicion,2.0,Britbox,2025,
Absentia,3.0,Prime,2022,2018
Absolutely Fabulous: The Movie,1.0,,2017,2016
Accused,1.0,Hulu,2025,2023
Across the Universe,3.0,,2008,2007
Acts of Vengence,3.0,,2019,2017
Adaptation.,4.0,,2005,2002
Admission,3.0,,2014,2013
Adolescence,4.0,Netflix,2025,2025
Adopt a Highway,3.1,,2025,2019
Adoration,3.0,,2011,2007
African Cats,3.0,,2012,2011
After the Hunt,3.0,,2025,
After the Wedding,4.0,,2007,2006
Afterglow,2.0,,2005,1997
Agatha Christi Ordeal by Innocense,1.0,Brit,2025,
Ain't Them Bodies Saints,3.0,,2014,2013
Air,3.0,,2023,
Ajami,2.0,,2011,2009
Ak eelah and the Bee,3.0,,2006,2006
Alamar,4.0,,2011,2009
Albert Nobbs,3.0,,2012,2011
Alex Cross,2.0,,2013,2012
Alice in Wonderland,3.0,,2010,2010
Alien,4.0,,2004,1979
Alive Inside: A Story of Music & Memory,4.0,,2015,2014
All about Eve,1.0,,#VALUE!,1900
All Good Things,3.0,,2011,2010
All Her Fault,2.5,Peacock,2025,2025
All is Bright,3.0,,2024,1900
All Is Lost,4.0,,#VALUE!,2013
All of You,3.2,AppleTV,2025,2025
All Quiet on the Western Front,4.0,Netflix,2022,2022
All That Jazz,4.0,,2004,1979
All the King's Men,4.0,Hulu,2007,2006
All the Light We Cannot See,3.0,,2023,
All the Money in the World,3.0,,2018,2017
All The Old Knives,3.0,,2022,2022
All the President's Men,4.0,,2004,1976
Allied,3.0,,2017,2016
Aloft,3.0,,2017,2015
Alone Australia series,3.0,Netflix,2025,
Altered States,4.0,,2004,1980
Amadeus,4.0,,2004,1984
Ambulance,3.0,,2022,2022
Amelie,3.0,,2006,2001
American Assassin,3.0,,2018,2017
American Beauty,5.0,,2004,1999
American Dreamer,3.0,,2025,
American Fable,2.0,,2023,
American Gangster,3.0,,2008,2007
American History X,4.0,,2004,1998
American Hustle,4.0,,2014,2013
American Mystery! Coyote Waits,1.0,,2008,2003
American Pastoral,1.0,,2017,2016
American Sniper,4.0,,2016,2014
American Splendor,3.0,,2005,2003
Amexicano,2.0,,2009,2007
Amores Perros,2.0,,2006,2001
Amour,3.0,,2017,2012
Amsterdam,3.0,HBO,2022,2022
